市区町丁,総合計,凶悪犯計,凶悪犯強盗,凶悪犯その他,粗暴犯計,粗暴犯凶器準備集合,粗暴犯暴行,粗暴犯傷害,粗暴犯脅迫,粗暴犯恐喝,侵入窃盗計,侵入窃盗金庫破り,侵入窃盗学校荒し,侵入窃盗事務所荒し,侵入窃盗出店荒し,侵入窃盗空き巣,侵入窃盗忍込み,侵入窃盗居空き,侵入窃盗その他,非侵入窃盗計,非侵入窃盗自動車盗,非侵入窃盗オートバイ盗,非侵入窃盗自転車盗,非侵入窃盗車上ねらい,非侵入窃盗自販機ねらい,非侵入窃盗工事場ねらい,非侵入窃盗すり,非侵入窃盗ひったくり,非侵入窃盗置引き,非侵入窃盗万引き,非侵入窃盗その他,その他計,その他詐欺,その他占有離脱物横領,その他その他知能犯,その他賭博,その他その他刑法犯,計
千代田区外神田２丁目,11,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,0,0,0,0,0,0,3,5,1,1,3,0,0,15
千代田区外神田３丁目,56,1,1,0,5,0,3,1,1,0,4,1,0,0,3,0,0,0,0,31,0,0,2,2,0,0,0,1,0,15,11,15,6,1,0,2,6,93
千代田区外神田４丁目,71,1,1,0,5,0,3,2,0,0,1,0,0,0,0,0,0,1,0,56,0,0,4,1,0,0,0,1,7,21,22,8,2,2,0,0,4,102
千代田区外神田５丁目,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,7
千代田区外神田６丁目,16,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0,0,0,4,3,5,2,0,0,0,3,24
千代田区鍛冶町１丁目,17,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,12,0,0,2,0,0,0,0,0,1,2,7,2,2,0,0,0,0,29
千代田区鍛冶町２丁目,75,0,0,0,11,0,7,2,1,1,0,0,0,0,0,0,0,0,0,57,0,0,7,0,0,0,2,0,0,8,40,7,1,1,0,0,5,119
千代田区神田鍛冶町３丁目,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5
千代田区神田紺屋町,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,14
千代田区神田北乗物町,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
千代田区神田富山町,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
千代田区岩本町１丁目,10,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,2,4,2,0,2,0,0,14
千代田区岩本町２丁目,15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,1,8,4,2,0,0,2,24
千代田区岩本町３丁目,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,1,0,3,1,0,0,0,2,11
千代田区神田東松下町,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,1,3,1,1,1,0,0,6
