市区町丁,総合計,凶悪犯計,凶悪犯強盗,凶悪犯その他,粗暴犯計,粗暴犯凶器準備集合,粗暴犯暴行,粗暴犯傷害,粗暴犯脅迫,粗暴犯恐喝,侵入窃盗計,侵入窃盗金庫破り,侵入窃盗学校荒し,侵入窃盗事務所荒し,侵入窃盗出店荒し,侵入窃盗空き巣,侵入窃盗忍込み,侵入窃盗居空き,侵入窃盗その他,非侵入窃盗計,非侵入窃盗自動車盗,非侵入窃盗オートバイ盗,非侵入窃盗自転車盗,非侵入窃盗車上ねらい,非侵入窃盗自販機ねらい,非侵入窃盗工事場ねらい,非侵入窃盗すり,非侵入窃盗ひったくり,非侵入窃盗置引き,非侵入窃盗万引き,非侵入窃盗その他,その他計,その他詐欺,その他占有離脱物横領,その他その他知能犯,その他賭博,その他その他刑法犯,計,緯度,経度
大田区大森東２丁目,26,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,0,0,9,6,0,0,0,0,0,2,2,6,2,1,0,0,3,30,35.5724807,139.7364627
大田区大森東３丁目,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,4,2,0,0,0,0,0,0,0,1,0,0,0,0,1,8,35.5717183,139.7402946
大田区大森東４丁目,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,3,3,0,1,0,0,0,3,2,6,5,1,0,0,0,18,35.568078,139.7383786
大田区大森東５丁目,21,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,1,0,4,5,0,0,0,0,0,1,1,8,1,1,0,0,6,25,35.5692949,139.7428494
大田区大森南１丁目,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,7,1,0,1,0,0,1,0,0,1,0,1,0,0,0,11,35.5631632,139.7390173
大田区大森南２丁目,29,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,1,1,8,1,1,0,0,0,1,5,2,8,3,1,0,0,4,33,35.56240020000001,139.7428494
大田区大森南３丁目,14,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,3,0,6,1,0,0,0,5,18,35.5658476,139.7428494
大田区大森南４丁目,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,35.5673829,139.7466817
大田区大森南５丁目,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7,35.5631721,139.7505142
大田区大森中１丁目,16,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,7,1,0,0,0,0,1,3,2,1,0,0,0,0,1,20,35.570308,139.7339083
大田区大森中２丁目,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,4,4,0,0,0,0,0,0,2,1,1,0,0,0,0,12,35.5673389,139.7329504
大田区大森中３丁目,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,12,0,0,9,1,0,0,0,0,0,0,2,4,1,0,0,0,3,19,35.5652002,139.7326311
大田区大森西１丁目,21,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,6,2,0,0,0,0,0,2,1,8,6,1,0,0,1,29,35.5770642,139.7249685
大田区大森西２丁目,25,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,15,0,1,5,7,0,0,0,0,0,0,2,8,3,2,0,0,3,29,35.5768145,139.7300768
大田区大森西３丁目,41,0,0,0,2,0,2,0,0,0,1,0,0,0,1,0,0,0,0,30,0,1,13,4,0,0,0,0,0,9,3,8,2,1,0,0,5,51,35.5733679,139.7300768
大田区大森西４丁目,20,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,9,1,0,0,0,0,0,0,2,7,4,1,0,0,2,24,35.5734242,139.723053
大田区大森西５丁目,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,1,15,4,0,0,0,0,0,1,3,5,4,0,0,0,1,29,35.57119520000001,139.7275226
大田区大森西６丁目,17,0,0,0,1,0,1,0,0,0,2,0,0,0,1,1,0,0,0,11,0,0,6,1,0,0,0,0,0,0,4,3,1,0,0,0,2,25,35.5690224,139.7249685
大田区大森西７丁目,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3,35.5697842,139.7211376
大田区大森北１丁目,111,0,0,0,8,0,1,7,0,0,0,0,0,0,0,0,0,0,0,89,0,4,38,2,0,1,0,0,1,35,8,14,4,3,0,0,7,143,35.5866413,139.7287997
大田区大森北２丁目,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,11,2,0,0,0,0,0,17,2,7,2,1,0,0,4,39,35.5863919,139.7339083
大田区大森北３丁目,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,11,10,0,0,0,0,0,0,0,8,3,1,0,0,4,29,35.5824337,139.7326311
大田区大森北４丁目,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,2,0,0,0,0,0,1,1,4,2,0,0,0,2,12,35.5838319,139.7275226
大田区大森北５丁目,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7,0,0,0,0,0,0,1,0,2,0,0,0,0,2,10,35.5808633,139.7265648
大田区大森北６丁目,37,0,0,0,1,0,1,0,0,0,2,0,0,0,0,2,0,0,0,28,0,0,22,1,0,0,0,0,0,2,3,6,1,1,0,0,4,45,35.5801361,139.7326311
大田区大森本町１丁目,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,1,0,0,0,0,0,2,2,0,0,0,0,6,35.5858493,139.7361578
大田区大森本町２丁目,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,7,2,0,0,0,0,0,2,1,2,1,0,1,0,0,14,35.5793742,139.7364627
大田区平和島１丁目,30,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,9,0,1,0,0,0,1,8,7,2,0,0,0,0,2,38,35.5855053,139.7402946
大田区平和島５丁目,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,35.5778498,139.7441268
大田区平和島６丁目,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,7,35.5790666,139.7485979
大田区昭和島１丁目,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,35.5719793,139.7466817
大田区昭和島２丁目,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,35.5708976,139.751153
大田区山王１丁目,17,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,11,0,0,4,2,0,1,0,0,0,3,1,4,2,0,1,0,1,23,35.5931455,139.7249685
